22,Almería
23,Cádiz
24,Córdoba
25,Granada
26,Huelva
27,Sevilla
28,Huesca
29,Burgos
30,León
31,Madrid
32,Navarra
33,Alicante
34,Castellón
35,Valencia
36,Badajoz
37,Cáceres
38,Teruel
39,Zaragoza
40,Cantabria
41,Lleida
42,Tarragona
43,Lugo
44,Orense
45,Pontevedra
48,Salamanca
50,La Coruña
51,Guipúzcoa
52,Gerona
54,Segovia
55,Jaén
56,Málaga
57,Albacete
58,Ciudad Real
59,Cuenca
60,Guadalajara
61,Toledo
62,Ávila
63,Palencia
64,Soria
65,Valladolid
66,Zamora
67,Barcelona
68,La Rioja
69,Álava
70,Vizcaya
71,Asturias
72,Murcia
