potencia_fecha;01/2015;02/2015;03/2015;04/2015;05/2015;06/2015;07/2015;08/2015;09/2015;10/2015;11/2015;12/2015;01/2016;02/2016;03/2016;04/2016;05/2016;06/2016;07/2016;08/2016;09/2016;10/2016;11/2016;12/2016;01/2017;02/2017;03/2017;04/2017;05/2017;06/2017;07/2017;08/2017;09/2017;10/2017;11/2017;12/2017;01/2018;02/2018;03/2018;04/2018;05/2018;06/2018;07/2018;08/2018;09/2018;10/2018;11/2018;12/2018;01/2019;02/2019;03/2019;04/2019;05/2019;06/2019;07/2019;08/2019;09/2019;10/2019;11/2019;12/2019;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023
potencia_eolica;22931.26;22931.26;22931.26;22931.36;22933.16;22933.785;22933.785;22933.785;22933.785;22933.785;22933.785;22933.985;22933.985;22938.485;22938.485;22938.485;22938.485;22938.485;22940.155;22940.155;22971.72;22971.72;22973.72;22985.42;22986.27;22986.27;22986.27;22986.17;22986.395;23015.89;23032.329;23039.379;23039.379;23039.524;23040.424;23078.424;23080.774;23093.174;23107.074;23117.444;23138.494;23138.494;23138.494;23219.294;23229.294;23275.369;23379.359;23443.409;23491.772;23534.972;23534.972;23584.672;23638.622;23677.326;23732.601;24082.716;24432.096;25070.221;25327.056;25694.402;25728.686;25736.516;26109.266;26127.466;26320.921;26449.066;26543.887;26744.792;27024.627;27240.267;27571.662;27680.862;27689.562;27782.812;27811.112;27855.012;28005.512;28135.187;28218.432;28218.432;28223.122;28425.272;28427.272;28683.342;28706.067;28914.537;29072.837;29121.687;29588.887;29644.287;29663.487;29724.777;29805.877;29857.377;30034.577;30158.827;30217.627;30302.827;30362.477;30368.377;30370.637;30370.637;30370.637;30370.637
potencia_solar_fotovoltaica;4678.797;4678.867;4679.084;4679.191;4679.556;4680.084;4682.742;4682.855;4683.309;4683.422;4683.575;4683.824;4683.838;4686.128;4686.191;4686.262;4686.317;4686.339;4686.551;4686.921;4687.484;4687.916;4688.083;4688.66;4689.928;4690.267;4690.372;4689.871;4690.368;4690.598;4690.243;4690.368;4690.921;4691.237;4691.312;4691.833;4692.325;4705.868;4705.979;4707.644;4710.626;4711.579;4711.893;4716.986;4717.169;4717.556;4719.884;4771.202;4829.852;5007.749;5012.133;5506.299;5561.228;5746.556;5974.168;6292.153;6540.543;7408.257;8567.002;8746.631;8868.345;8909.506;9414.656;9501.202;9716.59;9874.784;10167.721;10201.243;10710.166;11114.452;11377.641;11663.316;11788.088;12103.555;12410.614;12567.521;12862.87;13174.753;13485.333;13620.437;13774.032;14029.682;14553.057;15264.479;15676.402;15919.167;16192.12;16343.683;16871.534;17089.53;17975.165;18218.29;18469.407;18716.423;19650.505;19976.683;20223.754;20582.679;21077.117;21404.483;21598.698;21791.319;21791.319;22380.126
